ID,Name,Nationality,Email,AccountStatus
1111,Loren,Singaporean,loren@gmail.com,good standing
2222,Matt,Non-Singaporean,matt@yahoo.com,closed
3333,Hilda,Singaporean,hilda@gmail.com,delinquent
4444,Andy,Non-Singaporean,andy@gmail.com,good standing
5555,Kit,Singaporean,kit@yahoo.com,delinquent
6666,Brenda Palmer,Non-Singaporean,brenda.palmer@gmail.com,good standing
6676,Anmol Chana,Singaporean,anmol.chana@hotmail.com,closed
6686,Yeongho Bak,Non-Singaporean,yeongho.bak@hotmail.com,good standing
6696,Ruth Wilkinson,Singaporean,ruth.wilkinson@hotmail.com,closed
6706,Gamblang Farida,Singaporean,gamblang.farida@hotmail.com,delinquent
6716,Myeongja Gim,Singaporean,myeongja.gim@zoho.com,closed
6726,Samantha Ruiz,Singaporean,samantha.ruiz@hotmail.com,closed
6736,Eta Narang,Non-Singaporean,eta.narang@zoho.com,closed
6746,Chatura Babu,Singaporean,chatura.babu@yahoo.com,good standing
6756,Oakhrphnth Nirahani,Non-Singaporean,oakhrphnth.nirahani@hotmail.com,good standing
6766,Jing Shao,Singaporean,jing.shao@gmail.com,delinquent
6776,Kelly Mitchell,Non-Singaporean,kelly.mitchell@hotmail.com,good standing
6786,Jaeho Mun,Non-Singaporean,jaeho.mun@hotmail.com,closed
6796,Mijeong Choe,Non-Singaporean,mijeong.choe@hotmail.com,closed
6806,Kruetemth Aithysuchat,Singaporean,kruetemth.aithysuchat@yahoo.com,good standing
6816,Lawrence Dixon,Non-Singaporean,lawrence.dixon@yahoo.com,closed
6826,Xiulan Cui,Non-Singaporean,xiulan.cui@yahoo.com,delinquent
6836,Jeongsun I,Non-Singaporean,jeongsun.i@gmail.com,delinquent
6846,Nathphicha Thnupkrn,Singaporean,nathphicha.thnupkrn@yahoo.com,good standing
6856,Karya Megantara,Singaporean,karya.megantara@gmail.com,good standing
6866,Xiulan Zhang,Non-Singaporean,xiulan.zhang@yahoo.com,delinquent
6876,Jais Tamba,Singaporean,jais.tamba@yahoo.com,delinquent
6886,Donald Marshall,Singaporean,donald.marshall@yahoo.com,good standing
6896,Mitchell Jones,Non-Singaporean,mitchell.jones@yahoo.com,good standing
6906,Hli Edchkhum,Non-Singaporean,hli.edchkhum@zoho.com,good standing
6916,Ika Wibisono,Singaporean,ika.wibisono@gmail.com,closed
6926,Kimura Naoko,Singaporean,kimura.naoko@zoho.com,good standing
6936,Ogawa Ryousuke,Non-Singaporean,ogawa.ryousuke@yahoo.com,good standing
6946,Vega Santoso,Singaporean,vega.santoso@gmail.com,closed
6956,Juwon Jin,Non-Singaporean,juwon.jin@zoho.com,delinquent
